Distance_interval,Confidence,Distance,Velocity,Length,Brightness,Contrast,Average_confidence,Confidence_deviation
0.2,0.2919388115406036,0.2674252447199807,1.1215158042238855,8721.709256529808,127.21358723958332,56.82082528100646,0.3933241490274667,-0.10138533748686313
0.3,,,,,,,0.4582821182906628,
0.4,0.4092207849025726,0.4106546794827337,1.1206497943474367,9595.47375535965,128.67896592881945,58.14296957724832,0.3975702068209648,0.011650578081607799
0.5,0.3382956981658935,0.5529412382971097,1.1181880487341231,10686.126766085625,133.50458658854166,61.896625793108434,0.3519131708890199,-0.013617472723126411
0.6,0.2560870945453644,0.6972743495575753,1.1026301439344872,12357.857988595964,134.47400499131945,70.15332052074021,0.2821859400719403,-0.02609884552657593
0.7,,,,,,,0.2065390573193629,
0.8,0.2340563386678695,0.8390419611445501,1.091302954632421,13845.632593393326,132.01005533854166,78.82779975945513,0.2421119216084479,-0.008055582940578399
0.9,0.270865797996521,0.9777543622941482,1.0745382403637562,16114.238043189049,131.7423849826389,81.26217605013451,0.2433718391507863,0.02749395884573469
1.0,,,,,,,0.233265591263771,
1.1,0.2504541873931885,1.11374046322092,1.0534274800101535,18112.28802371025,129.79632921006944,84.12793777129373,0.2428054518997668,0.007648735493421682
1.2,0.2323972582817077,1.2504940213149751,1.0300558863169562,22557.82537472248,124.004970703125,90.35750273579136,0.2446793254464863,-0.012282067164778587
1.3,0.2678866684436798,1.3836953490918895,0.9881223690155436,22793.8854585886,119.03664279513887,93.41690542941276,0.2518187686800956,0.016067899763584192
1.4,,,,,,,0.2452874162793158,
1.5,0.2840791940689087,1.5132640462769948,0.9367862721399683,27844.556929707527,116.03408094618057,94.09360667069949,0.2496717400848865,0.0344074539840222
1.6,0.2785019874572754,1.636663849660316,0.8575627571737408,30145.002997279167,115.95763671875,94.5042136913546,0.2713073905557394,0.00719459690153601
1.7,0.2359876036643982,1.7527764645123822,0.7500296923924916,36722.76575410366,115.46492296006944,95.54402371301036,0.2855873072892427,-0.049599703624844504
1.8,0.2326586693525314,1.8560250354176,0.4062456396106128,36141.26706445217,114.75732964409724,96.1408366619827,0.2907858511805534,-0.058127181828021984
1.9,0.2241403460502624,1.9999853817682425,0.0002320354247267,42689.31704747677,114.2104296875,96.64440620335289,0.289531805117925,-0.06539145906766258
