Distance_interval,Confidence,Distance,Velocity,Length,Brightness,Contrast,Average_confidence,Confidence_deviation
0.2,0.1906486898660659,0.2064964547535432,0.8410297445489968,40323.726310014725,99.17649197048613,96.68132888416903,0.3933241490274667,-0.2026754591614008
0.3,0.4417332112789154,0.3195830956317487,0.8387076603578683,37751.43369233608,102.646220703125,93.63622307631546,0.4582821182906628,-0.016548907011747382
0.4,0.4164406359195709,0.4331667563897188,0.8436664928992379,38018.056933522224,106.313837890625,90.93539821860269,0.3975702068209648,0.018870429098606145
0.5,0.2101172357797622,0.5449669928732392,0.8395949100789615,37347.26596224308,109.5027734375,88.79107162818778,0.3519131708890199,-0.1417959351092577
0.6,0.2719278633594513,0.6562775185928742,0.8423233648857632,34435.35515964031,111.77107421875,87.07228705549296,0.2821859400719403,-0.010258076712489017
0.7,0.1718241274356842,0.769144885994713,0.8345643892133434,34824.51124250889,113.989609375,86.61419102002947,0.2065390573193629,-0.03471492988367869
0.8,0.1910256743431091,0.8802580655856178,0.8309124800164033,33567.41578626633,115.01075303819444,86.71752546652307,0.2421119216084479,-0.05108624726533881
0.9,0.2247353047132492,0.9904868421551768,0.8226898032464947,33276.20850920677,114.71621744791666,89.38993736908817,0.2433718391507863,-0.0186365344375371
1.0,,,,,,,0.233265591263771,
1.1,0.1436675935983657,1.1008179463470402,0.8137919605347771,32498.85317242145,114.433447265625,90.5399748040718,0.2428054518997668,-0.0991378583014011
1.2,0.131730705499649,1.20919751659924,0.8064864147266738,33962.91919744015,114.02468098958332,91.19357477587756,0.2446793254464863,-0.1129486199468373
1.3,0.1644493639469146,1.3158448263881422,0.7934197406539307,33588.72532200813,113.38422309027776,91.77536343024454,0.2518187686800956,-0.08736940473318103
1.4,0.1477395296096801,1.4212642047093906,0.7745051504654992,35090.00036287308,112.69858723958332,92.21288594920875,0.2452874162793158,-0.09754788666963571
1.6,0.1356322914361953,1.6237778783658303,0.7049365965148515,35077.60251545906,113.89412977430555,92.64773879534472,0.2713073905557394,-0.1356750991195441
1.8,0.11293187364935875,1.8523777865940334,0.4360052905224271,36984.146676421165,116.29235188802082,93.95995718077401,0.2907858511805534,-0.17785397753119464
1.9,,,,,,,0.289531805117925,
